58579,28801,12620
x,p2,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
x,p2,9
o,p2,9
o,p1,9
n,n,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
n,n,9
x,p2,9
n,n,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
o,p1,9
o,p1,9
o,p1,9
o,p1,9
o,p2,9
x,p2,9
n,n,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
n,n,9
o,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
x,p2,9
o,p1,9
x,p2,9
o,p2,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
n,n,9
x,p1,9
o,p1,9
n,n,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
n,n,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
o,p1,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
o,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
o,p1,9
o,p2,9
n,n,9
n,n,9
n,n,9
o,p2,9
x,p2,9
o,p1,9
x,p2,9
o,p1,9
n,n,9
o,p2,9
o,p1,9
o,p2,9
o,p1,9
o,p1,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
o,p2,9
x,p1,9
o,p1,9
x,p2,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
o,p1,9
n,n,9
o,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p1,9
o,p1,9
n,n,9
o,p1,9
n,n,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
o,p1,9
o,p1,9
x,p1,9
o,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
o,p2,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
o,p1,9
x,p1,9
o,p2,9
x,p2,9
n,n,9
x,p2,9
o,p1,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
x,p2,9
n,n,9
o,p1,9
x,p1,9
o,p2,9
o,p2,9
x,p2,9
n,n,9
x,p1,9
o,p2,9
x,p2,9
o,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
o,p2,9
o,p2,9
o,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
o,p2,9
n,n,9
n,n,9
n,n,9
o,p2,9
n,n,9
x,p1,9
x,p2,9
o,p1,9
o,p1,9
n,n,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p2,9
n,n,9
x,p2,9
x,p2,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
o,p1,9
x,p1,9
n,n,9
n,n,9
n,n,9
x,p1,9
o,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
o,p2,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
o,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
n,n,9
o,p2,9
x,p1,9
x,p1,9
n,n,9
n,n,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
o,p1,9
x,p1,9
o,p2,9
x,p2,9
o,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
n,n,9
o,p2,9
n,n,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
n,n,9
o,p2,9
o,p1,9
n,n,9
x,p2,9
n,n,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p2,9
o,p1,9
o,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
o,p2,9
n,n,9
o,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
n,n,9
o,p1,9
x,p1,9
o,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
o,p1,9
x,p2,9
o,p1,9
o,p2,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p2,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
o,p1,9
o,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
n,n,9
n,n,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
o,p2,9
o,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p1,9
n,n,9
n,n,9
x,p2,9
x,p2,9
o,p2,9
x,p1,9
o,p1,9
o,p2,9
x,p2,9
o,p1,9
o,p1,9
o,p1,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
o,p1,9
o,p2,9
x,p2,9
o,p2,9
n,n,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
o,p1,9
o,p2,9
o,p2,9
x,p1,9
o,p1,9
o,p1,9
o,p2,9
x,p2,9
n,n,9
o,p1,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
o,p2,9
n,n,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
n,n,9
o,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
n,n,9
o,p2,9
x,p2,9
x,p2,9
n,n,9
x,p2,9
o,p1,9
n,n,9
x,p2,9
x,p1,9
o,p1,9
n,n,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
o,p1,9
o,p2,9
x,p1,9
x,p2,9
o,p2,9
o,p1,9
o,p1,9
n,n,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
n,n,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
o,p2,9
x,p1,9
n,n,9
x,p2,9
n,n,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
n,n,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
n,n,9
x,p1,9
x,p2,9
n,n,9
o,p2,9
x,p1,9
n,n,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p2,9
n,n,9
n,n,9
o,p2,9
x,p2,9
o,p1,9
n,n,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
n,n,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
n,n,9
o,p2,9
x,p2,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
o,p1,9
o,p2,9
o,p1,9
x,p1,9
o,p1,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
n,n,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
n,n,9
x,p2,9
n,n,9
n,n,9
x,p2,9
o,p1,9
x,p2,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
o,p1,9
o,p2,9
x,p2,9
x,p2,9
n,n,9
n,n,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
o,p1,9
x,p2,9
n,n,9
n,n,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
n,n,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
o,p1,9
o,p1,9
o,p2,9
x,p1,9
x,p2,9
o,p2,9
n,n,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
n,n,9
x,p1,9
x,p2,9
o,p1,9
o,p2,9
n,n,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
o,p2,9
x,p1,9
o,p2,9
o,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
n,n,9
o,p2,9
o,p2,9
o,p1,9
x,p2,9
x,p2,9
o,p1,9
o,p1,9
x,p2,9
x,p1,9
o,p1,9
n,n,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
o,p1,9
x,p1,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
n,n,9
x,p1,9
o,p1,9
o,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
n,n,9
x,p2,9
o,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
n,n,9
o,p1,9
o,p2,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
o,p1,9
x,p2,9
n,n,9
x,p1,9
n,n,9
x,p2,9
o,p1,9
x,p2,9
o,p2,9
o,p2,9
o,p2,9
x,p2,9
o,p1,9
x,p1,9
o,p2,9
n,n,9
x,p1,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
n,n,9
o,p1,9
x,p1,9
o,p1,9
o,p1,9
n,n,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
o,p1,9
o,p2,9
n,n,9
x,p2,9
o,p2,9
o,p1,9
x,p1,9
o,p1,9
o,p1,9
x,p1,9
x,p2,9
o,p2,9
o,p2,9
x,p1,9
o,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
n,n,9
o,p2,9
o,p1,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
o,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
o,p2,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
o,p1,9
o,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
n,n,9
o,p1,9
x,p1,9
x,p2,9
o,p2,9
o,p1,9
x,p2,9
x,p2,9
o,p2,9
o,p2,9
n,n,9
x,p2,9
x,p1,9
o,p2,9
n,n,9
o,p1,9
n,n,9
x,p2,9
o,p1,9
x,p2,9
n,n,9
o,p1,9
n,n,9
n,n,9
o,p2,9
x,p2,9
x,p2,9
o,p2,9
o,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
n,n,9
o,p2,9
o,p2,9
n,n,9
o,p1,9
x,p1,9
n,n,9
x,p1,9
o,p1,9
x,p1,9
o,p1,9
o,p2,9
n,n,9
o,p1,9
x,p1,9
o,p1,9
n,n,9
x,p2,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
o,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p2,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
n,n,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
o,p1,9
n,n,9
n,n,9
x,p1,9
x,p1,9
o,p1,9
n,n,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
n,n,9
x,p2,9
x,p2,9
o,p1,9
o,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
n,n,9
n,n,9
x,p2,9
o,p1,9
n,n,9
n,n,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
x,p2,9
o,p2,9
x,p2,9
o,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
o,p1,9
o,p1,9
x,p2,9
o,p1,9
o,p1,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
o,p1,9
x,p1,9
o,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
n,n,9
o,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
n,n,9
o,p2,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
o,p1,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
n,n,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p1,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
n,n,9
o,p2,9
x,p1,9
o,p1,9
o,p2,9
o,p2,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
n,n,9
n,n,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
o,p1,9
x,p2,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
o,p1,9
x,p2,9
o,p1,9
x,p2,9
o,p2,9
n,n,9
o,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
n,n,9
x,p2,9
o,p2,9
n,n,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
n,n,9
o,p1,9
x,p2,9
o,p1,9
n,n,9
n,n,9
o,p2,9
o,p2,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
o,p1,9
n,n,9
x,p2,9
o,p2,9
o,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
n,n,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
n,n,9
n,n,9
o,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
o,p1,9
o,p1,9
n,n,9
n,n,9
o,p1,9
o,p1,9
o,p2,9
x,p2,9
x,p2,9
o,p2,9
o,p1,9
o,p2,9
x,p2,9
n,n,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
o,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p2,9
n,n,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p2,9
o,p2,9
n,n,9
x,p1,9
o,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
o,p1,9
x,p2,9
o,p1,9
o,p2,9
n,n,9
o,p1,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
n,n,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
o,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
n,n,9
o,p2,9
x,p1,9
o,p2,9
o,p1,9
n,n,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p1,9
n,n,9
x,p1,9
n,n,9
x,p1,9
o,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
o,p2,9
x,p1,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
n,n,9
x,p1,9
o,p2,9
o,p2,9
x,p2,9
o,p1,9
o,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
n,n,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
o,p2,9
o,p2,9
o,p2,9
x,p1,9
n,n,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
n,n,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
n,n,9
n,n,9
x,p1,9
o,p1,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
n,n,9
o,p2,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
n,n,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
o,p2,9
o,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
o,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
o,p2,9
o,p2,9
n,n,9
x,p2,9
n,n,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
o,p2,9
o,p1,9
o,p1,9
o,p1,9
o,p1,9
o,p2,9
x,p1,9
n,n,9
o,p1,9
n,n,9
x,p2,9
x,p1,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
o,p2,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
o,p2,9
n,n,9
x,p2,9
o,p2,9
x,p2,9
o,p2,9
x,p1,9
n,n,9
o,p2,9
n,n,9
o,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
n,n,9
o,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p1,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
o,p2,9
n,n,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
o,p1,9
n,n,9
o,p2,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
x,p2,9
o,p1,9
o,p2,9
n,n,9
o,p2,9
x,p1,9
x,p1,9
o,p1,9
o,p1,9
o,p1,9
x,p1,9
x,p2,9
x,p2,9
o,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p1,9
o,p1,9
o,p1,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
o,p1,9
o,p1,9
o,p2,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
o,p2,9
x,p2,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
n,n,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p2,9
x,p2,9
x,p1,9
o,p1,9
x,p1,9
x,p2,9
x,p1,9
x,p1,9
o,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
x,p1,9
o,p1,9
x,p2,9
x,p1,9
n,n,9
o,p1,9
x,p2,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
o,p2,9
x,p1,9
x,p2,9
o,p1,9
x,p1,9
x,p1,9
x,p1,9
x,p1,9
o,p2,9
x,p1,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
o,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p2,9
x,p2,9
n,n,9
o,p1,9
x,p1,9
x,p1,9
x,p2,9
n,n,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p2,9
x,p1,9
x,p1,9
n,n,9
x,p1,9
x,p2,9
o,p1,9
x,p2,9
x,p1,9
n,n,9
x,p1,9
x,p2,9
o,p2,9
o,p2,9
x,p2,9
x,p2,9
o,p1,9
x,p2,9
n,n,9
x,p2,9
x,p1,9
o,p2,9
x,p1,9
o,p1,9
n,n,9
x,p1,9
x,p1,9
x,p1,9
o,p1,9
x,p1,9
o,p2,9
x,p2,9
n,n,9
x,p1,9
n,n,9
